pitcher_espn_id,pitcher_idx,pitcher_name,team_canonical_id,season,throws,role,season_ip,season_era,fip,siera,fb_pct,fb_sensitivity,d1b_ability_adj,d1b_ability_source,n_appearances,last_appearance
,0,Sa Driscoll,NCAA_614756,2026,,SP,1.0,,,,,1.0,0.0,,1,2026-02-25
,0,R. LACIEN,BSB_ILLINOIS,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-02-25
,0,Micha Walsh,NCAA_614756,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-25
,0,Luke Wright,NCAA_614756,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-25
,0,L. MCKILLOP,BSB_ILLINOIS,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-25
,0,Sebastian Ho,NCAA_614649,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-25
,0,S. Perez,NCAA_614676,2026,,RP,3.0,,,,,1.0,0.0,,1,2026-02-25
,0,Pierce Fried,NCAA_614649,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-25
,0,Marshall Loc,NCAA_614649,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-02-25
,0,A. Stanton,NCAA_614676,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-25
,0,Gonzalez,BSB_BOSTON_COLLEGE,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-02-20
,0,D'Ancona,BSB_BOSTON_COLLEGE,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-02-20
,0,Bryant Yoak,BSB_WEST_VIRGINIA,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-25
,0,JD Garner,NCAA_614603,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-25
,0,Collin Ewaldsen,NCAA_614659,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-25
,0,Clark Lincoln,NCAA_614603,2026,,RP,3.0,,,,,1.0,0.0,,1,2026-02-25
,0,Caden Kresak,NCAA_614603,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-25
,0,C. Schneider,NCAA_614599,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-25
,0,C. Pumphrey,NCAA_614599,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-25
,0,C. Freeman,NCAA_614599,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-25
,0,A. Stockham,NCAA_614599,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-25
,0,Wyatt Mosley,BSB_WEST_VIRGINIA,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-25
,0,Joshua Surigao,BSB_WEST_VIRGINIA,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-25
,0,Ian Korn,BSB_WEST_VIRGINIA,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-25
,0,Hayden Blosser,NCAA_614701,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-25
,0,Lacourciere,NCAA_614619,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-02-14
,0,Gleason,NCAA_614666,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-14
,0,Billingsley,NCAA_614666,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-14
,0,Waters,NCAA_614774,2026,R,RP,1.0,,,,,1.0,0.0,,1,2026-02-14
,0,Simoneaux,NCAA_614774,2026,L,RP,1.0,,,,,1.0,0.0,,1,2026-02-14
,0,Trevor Geddes,NCAA_614822,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-14
,0,Webb,NCAA_614666,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-14
,0,Andrew Moy,NCAA_614611,2026,R,RP,1.0,,,,,1.0,0.0,,1,2026-02-14
,0,W. Youngman,NCAA_614601,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-02-14
,0,S. Doran,BSB_COASTAL_CAROLINA,2026,R,RP,1.0,,4.220000000000001,2.925,57.4,1.3329,-0.068727,fip,1,2026-02-14
,0,J. Sheldon,NCAA_614601,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-14
,0,C. Bosch,BSB_COASTAL_CAROLINA,2026,L,RP,3.0,,,,,1.0,0.0,,1,2026-02-14
,0,J. Pickens,NCAA_614664,2026,L,RP,3.0,,,,,1.0,0.0,,1,2026-02-14
,0,Raymond McNaught,NCAA_614819,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-14
,0,Carson Everrette,NCAA_614819,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-14
,0,T. Flaherty,NCAA_614869,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-14
,0,S. Yochum,NCAA_614592,2026,,RP,3.0,,,,,1.0,0.0,,1,2026-02-14
,0,B. Lewis,NCAA_614869,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-14
,0,Spagnoli,NCAA_614619,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-02-14
,0,A. Vining,NCAA_614869,2026,,RP,2.0,,2.81,2.34,44.1,1.0936,-0.168828,fip,1,2026-02-14
,0,M. Boffalo,NCAA_614578,2026,R,RP,1.0,,,,,1.0,0.0,,1,2026-02-14
,0,L. Tibbett,NCAA_614852,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-14
,0,J. Hageman,NCAA_614578,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-02-14
,0,C. Barozzino,NCAA_614852,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-14
,0,Riley Weatherwax,NCAA_614670,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-02-15
,0,Colin Ruddy,NCAA_614670,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-15
,0,J. Evans,BSB_LIBERTY,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-02-20
,0,Reid Hensley,NCAA_614775,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-14
,0,Michael Catalano,NCAA_614775,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-02-14
